Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time,Water1,Water2,Water3,Water4
2024-03-01 00:00:00+00:00,61196.0,TP,17,2024-03-01 00:17:00+00:00,,,,
2024-03-01 00:01:00+00:00,61185.84,TP,16,2024-03-01 00:17:00+00:00,,,,
2024-03-01 00:02:00+00:00,61147.58,TP,15,2024-03-01 00:17:00+00:00,,,,
2024-03-01 00:03:00+00:00,61163.85,TP,14,2024-03-01 00:17:00+00:00,,,,
2024-03-01 00:04:00+00:00,61129.92,TP,3,2024-03-01 00:07:00+00:00,,,,
2024-03-01 00:05:00+00:00,61229.69,TP,12,2024-03-01 00:17:00+00:00,,,,
2024-03-01 00:06:00+00:00,61260.24,TP,11,2024-03-01 00:17:00+00:00,,,,
2024-03-01 00:07:00+00:00,61316.54,TP,19,2024-03-01 00:26:00+00:00,,,,
2024-03-01 00:08:00+00:00,61317.48,TP,18,2024-03-01 00:26:00+00:00,,,,
2024-03-01 00:09:00+00:00,61297.55,TP,16,2024-03-01 00:25:00+00:00,,,,
2024-03-01 00:10:00+00:00,61324.58,TP,16,2024-03-01 00:26:00+00:00,,,,
2024-03-01 00:11:00+00:00,61306.01,TP,15,2024-03-01 00:26:00+00:00,,,,
2024-03-01 00:12:00+00:00,61265.81,TP,7,2024-03-01 00:19:00+00:00,,,,
2024-03-01 00:13:00+00:00,61255.17,TP,4,2024-03-01 00:17:00+00:00,,,,
2024-03-01 00:14:00+00:00,61224.49,TP,3,2024-03-01 00:17:00+00:00,,,,
2024-03-01 00:15:00+00:00,61212.35,TP,2,2024-03-01 00:17:00+00:00,,,,
2024-03-01 00:16:00+00:00,61291.53,TP,4,2024-03-01 00:20:00+00:00,,,,
2024-03-01 00:17:00+00:00,61439.65,TP,10,2024-03-01 00:27:00+00:00,,,,
2024-03-01 00:18:00+00:00,61442.0,TP,9,2024-03-01 00:27:00+00:00,,,,
2024-03-01 00:19:00+00:00,61462.12,TP,9,2024-03-01 00:28:00+00:00,,,,
2024-03-01 00:20:00+00:00,61474.0,TP,8,2024-03-01 00:28:00+00:00,,,,
2024-03-01 00:21:00+00:00,61431.1,TP,6,2024-03-01 00:27:00+00:00,,,,
2024-03-01 00:22:00+00:00,61421.33,TP,5,2024-03-01 00:27:00+00:00,,,,
2024-03-01 00:23:00+00:00,61412.07,TP,4,2024-03-01 00:27:00+00:00,,,,
2024-03-01 00:24:00+00:00,61415.99,TP,3,2024-03-01 00:27:00+00:00,,,,
2024-03-01 00:25:00+00:00,61481.99,TP,3,2024-03-01 00:28:00+00:00,,,,
2024-03-01 00:26:00+00:00,61512.0,TP,2,2024-03-01 00:28:00+00:00,,,,
2024-03-01 00:27:00+00:00,61628.57,TP,349,2024-03-01 06:16:00+00:00,2024-03-01 02:14:00+00:00,,,
2024-03-01 00:28:00+00:00,61698.02,TP,351,2024-03-01 06:19:00+00:00,2024-03-01 02:08:00+00:00,,,
2024-03-01 00:29:00+00:00,61716.74,TP,350,2024-03-01 06:19:00+00:00,2024-03-01 02:08:00+00:00,,,
2024-03-01 00:30:00+00:00,61657.27,TP,348,2024-03-01 06:18:00+00:00,2024-03-01 02:12:00+00:00,,,
2024-03-01 00:31:00+00:00,61651.11,TP,347,2024-03-01 06:18:00+00:00,2024-03-01 02:12:00+00:00,,,
2024-03-01 00:32:00+00:00,61608.72,TP,344,2024-03-01 06:16:00+00:00,2024-03-01 02:14:00+00:00,,,
2024-03-01 00:33:00+00:00,61580.64,TP,343,2024-03-01 06:16:00+00:00,2024-03-01 02:16:00+00:00,,,
2024-03-01 00:34:00+00:00,61561.09,TP,342,2024-03-01 06:16:00+00:00,2024-03-01 02:16:00+00:00,,,
2024-03-01 00:35:00+00:00,61641.09,TP,343,2024-03-01 06:18:00+00:00,2024-03-01 02:12:00+00:00,,,
2024-03-01 00:36:00+00:00,61676.01,TP,343,2024-03-01 06:19:00+00:00,2024-03-01 02:08:00+00:00,,,
2024-03-01 00:37:00+00:00,61621.11,TP,339,2024-03-01 06:16:00+00:00,2024-03-01 02:14:00+00:00,,,
