Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time,WaterCnt,Profit,Water1,Water2,Water3,Water4
2024-12-05 14:43:00+00:00,103395.24,LIQ,464,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 14:46:00+00:00,103313.16,LIQ,461,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 14:47:00+00:00,103368.0,LIQ,460,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 14:48:00+00:00,103304.02,LIQ,459,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:36:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 14:49:00+00:00,103300.02,LIQ,458,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:36:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 14:50:00+00:00,103374.62,LIQ,457,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 14:51:00+00:00,103339.99,LIQ,456,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 14:54:00+00:00,103429.64,LIQ,453,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 14:55:00+00:00,103418.77,LIQ,452,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 14:56:00+00:00,103396.0,LIQ,451,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 14:57:00+00:00,103262.83,LIQ,450,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:36:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 14:58:00+00:00,103423.08,LIQ,449,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 14:59:00+00:00,103507.99,LIQ,448,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 15:49:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:18:00+00:00
2024-12-05 15:00:00+00:00,103400.0,LIQ,447,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 15:01:00+00:00,103263.99,LIQ,446,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:36:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:04:00+00:00,103279.99,LIQ,443,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:36:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:05:00+00:00,103346.51,LIQ,442,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:06:00+00:00,103305.34,LIQ,441,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:36:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:07:00+00:00,103440.01,LIQ,440,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 15:08:00+00:00,103447.77,LIQ,439,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 15:09:00+00:00,103419.23,LIQ,438,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 15:10:00+00:00,103436.02,LIQ,437,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 15:11:00+00:00,103316.0,LIQ,436,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:12:00+00:00,103356.48,LIQ,435,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:13:00+00:00,103496.06,LIQ,434,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 15:49:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 15:14:00+00:00,103512.6,LIQ,433,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 15:49:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:18:00+00:00
2024-12-05 15:15:00+00:00,103383.16,LIQ,432,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 20:31:00+00:00
2024-12-05 15:16:00+00:00,103367.99,LIQ,431,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:35:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:17:00+00:00,103251.99,LIQ,430,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:23:00+00:00,2024-12-05 16:36:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:18:00+00:00,103123.98,LIQ,429,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:27:00+00:00,2024-12-05 16:39:00+00:00,2024-12-05 19:46:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:19:00+00:00,103027.99,LIQ,428,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:28:00+00:00,2024-12-05 16:39:00+00:00,2024-12-05 19:53:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:20:00+00:00,102847.99,LIQ,427,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:28:00+00:00,2024-12-05 18:52:00+00:00,2024-12-05 19:56:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:21:00+00:00,102779.98,LIQ,426,2024-12-05 22:27:00+00:00,4,0.0,2024-12-05 15:28:00+00:00,2024-12-05 18:55:00+00:00,2024-12-05 19:56:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:22:00+00:00,102699.99,LIQ,426,2024-12-05 22:28:00+00:00,4,0.0,2024-12-05 15:28:00+00:00,2024-12-05 18:57:00+00:00,2024-12-05 19:56:00+00:00,2024-12-05 22:26:00+00:00
2024-12-05 15:23:00+00:00,102217.53,LIQ,425,2024-12-05 22:28:00+00:00,4,0.0,2024-12-05 15:49:00+00:00,2024-12-05 19:44:00+00:00,2024-12-05 20:04:00+00:00,2024-12-05 22:27:00+00:00
