Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time,Water1,Water2,Water3,Water4
2025-01-07 00:34:00+00:00,102450.68,LIQ,1798,2025-01-08 06:32:00+00:00,2025-01-07 10:15:00+00:00,2025-01-07 14:56:00+00:00,2025-01-07 15:11:00+00:00,2025-01-07 17:46:00+00:00
2025-01-07 00:35:00+00:00,102687.21,LIQ,1692,2025-01-08 04:47:00+00:00,2025-01-07 03:21:00+00:00,2025-01-07 14:36:00+00:00,2025-01-07 15:10:00+00:00,2025-01-07 17:26:00+00:00
2025-01-07 00:36:00+00:00,102490.0,LIQ,1796,2025-01-08 06:32:00+00:00,2025-01-07 10:12:00+00:00,2025-01-07 14:56:00+00:00,2025-01-07 15:10:00+00:00,2025-01-07 17:46:00+00:00
2025-01-07 00:37:00+00:00,102442.23,LIQ,1795,2025-01-08 06:32:00+00:00,2025-01-07 10:15:00+00:00,2025-01-07 14:56:00+00:00,2025-01-07 15:11:00+00:00,2025-01-07 17:46:00+00:00
2025-01-07 00:38:00+00:00,102456.77,LIQ,1794,2025-01-08 06:32:00+00:00,2025-01-07 10:15:00+00:00,2025-01-07 14:56:00+00:00,2025-01-07 15:11:00+00:00,2025-01-07 17:46:00+00:00
2025-01-07 00:39:00+00:00,102299.89,LIQ,1796,2025-01-08 06:35:00+00:00,2025-01-07 11:32:00+00:00,2025-01-07 14:58:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 17:46:00+00:00
2025-01-07 00:40:00+00:00,102182.72,LIQ,1797,2025-01-08 06:37:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:00:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:41:00+00:00,102152.54,LIQ,1796,2025-01-08 06:37:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:42:00+00:00,102167.07,LIQ,1795,2025-01-08 06:37:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:00:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:43:00+00:00,102134.02,LIQ,1794,2025-01-08 06:37:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:44:00+00:00,102056.5,LIQ,1806,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:46:00+00:00
2025-01-07 00:45:00+00:00,102041.16,LIQ,1805,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 00:46:00+00:00,101969.85,LIQ,1804,2025-01-08 06:50:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 18:49:00+00:00
2025-01-07 00:47:00+00:00,102052.66,LIQ,1803,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:46:00+00:00
2025-01-07 00:48:00+00:00,102128.33,LIQ,1789,2025-01-08 06:37:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:49:00+00:00,102162.16,LIQ,1788,2025-01-08 06:37:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:50:00+00:00,102191.99,LIQ,1786,2025-01-08 06:36:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:00:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:51:00+00:00,102134.8,LIQ,1786,2025-01-08 06:37:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:52:00+00:00,102153.3,LIQ,1785,2025-01-08 06:37:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:53:00+00:00,102212.13,LIQ,1783,2025-01-08 06:36:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:00:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:54:00+00:00,102212.12,LIQ,1782,2025-01-08 06:36:00+00:00,2025-01-07 11:34:00+00:00,2025-01-07 15:00:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:41:00+00:00
2025-01-07 00:55:00+00:00,102073.04,LIQ,1795,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:43:00+00:00
2025-01-07 00:56:00+00:00,102004.96,LIQ,1794,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 00:57:00+00:00,102002.65,LIQ,1793,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 00:58:00+00:00,102018.99,LIQ,1792,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 00:59:00+00:00,102042.46,LIQ,1791,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 01:00:00+00:00,102063.03,LIQ,1790,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:43:00+00:00
2025-01-07 01:01:00+00:00,101934.16,LIQ,1791,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:37:00+00:00
2025-01-07 01:02:00+00:00,101899.58,LIQ,1792,2025-01-08 06:54:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:40:00+00:00
2025-01-07 01:03:00+00:00,101816.17,LIQ,1793,2025-01-08 06:56:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:48:00+00:00
2025-01-07 01:04:00+00:00,101897.98,LIQ,1790,2025-01-08 06:54:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:40:00+00:00
2025-01-07 01:05:00+00:00,101909.09,LIQ,1787,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:38:00+00:00
2025-01-07 01:06:00+00:00,101972.86,LIQ,1784,2025-01-08 06:50:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:49:00+00:00
2025-01-07 01:07:00+00:00,101942.28,LIQ,1785,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:37:00+00:00
2025-01-07 01:08:00+00:00,101900.0,LIQ,1784,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:40:00+00:00
2025-01-07 01:09:00+00:00,101919.03,LIQ,1783,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:37:00+00:00
2025-01-07 01:10:00+00:00,101864.93,LIQ,1784,2025-01-08 06:54:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:42:00+00:00
2025-01-07 01:11:00+00:00,101857.1,LIQ,1783,2025-01-08 06:54:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:42:00+00:00
2025-01-07 01:12:00+00:00,101800.01,LIQ,1784,2025-01-08 06:56:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:48:00+00:00
2025-01-07 01:13:00+00:00,101842.27,LIQ,1781,2025-01-08 06:54:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:42:00+00:00
2025-01-07 01:14:00+00:00,101818.18,LIQ,1782,2025-01-08 06:56:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:48:00+00:00
2025-01-07 01:15:00+00:00,101835.35,LIQ,1779,2025-01-08 06:54:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:42:00+00:00
2025-01-07 01:16:00+00:00,101909.02,LIQ,1776,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:38:00+00:00
2025-01-07 01:17:00+00:00,101887.85,LIQ,1777,2025-01-08 06:54:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:40:00+00:00
2025-01-07 01:18:00+00:00,101862.06,LIQ,1776,2025-01-08 06:54:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:42:00+00:00
2025-01-07 01:19:00+00:00,101864.48,LIQ,1775,2025-01-08 06:54:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:42:00+00:00
2025-01-07 01:20:00+00:00,101852.84,LIQ,1774,2025-01-08 06:54:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:42:00+00:00
2025-01-07 01:21:00+00:00,101896.87,LIQ,1773,2025-01-08 06:54:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:40:00+00:00
2025-01-07 01:22:00+00:00,101908.43,LIQ,1770,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:38:00+00:00
2025-01-07 01:23:00+00:00,101907.35,LIQ,1769,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:38:00+00:00
2025-01-07 01:24:00+00:00,101862.85,LIQ,1770,2025-01-08 06:54:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:42:00+00:00
2025-01-07 01:25:00+00:00,101790.63,LIQ,1771,2025-01-08 06:56:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:49:00+00:00
2025-01-07 01:26:00+00:00,101751.01,LIQ,2047,2025-01-08 11:33:00+00:00,2025-01-07 11:41:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:51:00+00:00
2025-01-07 01:27:00+00:00,101734.1,LIQ,2046,2025-01-08 11:33:00+00:00,2025-01-07 11:41:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:51:00+00:00
2025-01-07 01:28:00+00:00,101744.97,LIQ,2045,2025-01-08 11:33:00+00:00,2025-01-07 11:41:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:51:00+00:00
2025-01-07 01:30:00+00:00,101731.95,LIQ,2043,2025-01-08 11:33:00+00:00,2025-01-07 11:41:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:51:00+00:00
2025-01-07 01:31:00+00:00,101765.01,LIQ,1766,2025-01-08 06:57:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:51:00+00:00
2025-01-07 01:32:00+00:00,101815.05,LIQ,1764,2025-01-08 06:56:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:48:00+00:00
2025-01-07 01:33:00+00:00,101758.0,LIQ,1765,2025-01-08 06:58:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:51:00+00:00
2025-01-07 01:34:00+00:00,101744.01,LIQ,2039,2025-01-08 11:33:00+00:00,2025-01-07 11:41:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:51:00+00:00
2025-01-07 01:35:00+00:00,101810.54,LIQ,1761,2025-01-08 06:56:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:48:00+00:00
2025-01-07 01:36:00+00:00,101803.86,LIQ,1760,2025-01-08 06:56:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:48:00+00:00
2025-01-07 01:37:00+00:00,101784.67,LIQ,1759,2025-01-08 06:56:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:38:00+00:00,2025-01-07 19:49:00+00:00
2025-01-07 01:38:00+00:00,101825.24,LIQ,1758,2025-01-08 06:56:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:42:00+00:00
2025-01-07 01:39:00+00:00,101841.84,LIQ,1755,2025-01-08 06:54:00+00:00,2025-01-07 11:40:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:35:00+00:00,2025-01-07 19:42:00+00:00
2025-01-07 01:40:00+00:00,101938.62,LIQ,1752,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:37:00+00:00
2025-01-07 01:41:00+00:00,101939.54,LIQ,1751,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:37:00+00:00
2025-01-07 01:42:00+00:00,101971.49,LIQ,1748,2025-01-08 06:50:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:49:00+00:00
2025-01-07 01:43:00+00:00,101978.29,LIQ,1747,2025-01-08 06:50:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:49:00+00:00
2025-01-07 01:44:00+00:00,101973.79,LIQ,1746,2025-01-08 06:50:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:49:00+00:00
2025-01-07 01:45:00+00:00,101916.66,LIQ,1747,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 19:37:00+00:00
2025-01-07 01:46:00+00:00,101947.99,LIQ,1746,2025-01-08 06:52:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:34:00+00:00,2025-01-07 18:49:00+00:00
2025-01-07 01:47:00+00:00,101987.0,LIQ,1743,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 01:48:00+00:00,101992.38,LIQ,1742,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 01:49:00+00:00,101998.48,LIQ,1741,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 01:50:00+00:00,101999.99,LIQ,1740,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 01:51:00+00:00,101985.17,LIQ,1739,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 01:52:00+00:00,101979.98,LIQ,1738,2025-01-08 06:50:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:49:00+00:00
2025-01-07 01:53:00+00:00,101991.99,LIQ,1737,2025-01-08 06:50:00+00:00,2025-01-07 11:37:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:48:00+00:00
2025-01-07 01:54:00+00:00,101978.81,LIQ,1736,2025-01-08 06:50:00+00:00,2025-01-07 11:38:00+00:00,2025-01-07 15:01:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 18:49:00+00:00
