Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time
2025-03-01 00:00:00+00:00,84338.54,TP,15,2025-03-01 00:15:00+00:00
2025-03-01 00:01:00+00:00,84274.88,TP,13,2025-03-01 00:14:00+00:00
2025-03-01 00:02:00+00:00,84266.02,TP,12,2025-03-01 00:14:00+00:00
2025-03-01 00:03:00+00:00,84299.99,TP,11,2025-03-01 00:14:00+00:00
2025-03-01 00:04:00+00:00,84295.75,TP,10,2025-03-01 00:14:00+00:00
2025-03-01 00:05:00+00:00,84327.85,TP,10,2025-03-01 00:15:00+00:00
2025-03-01 00:06:00+00:00,84412.72,TP,110,2025-03-01 01:56:00+00:00
2025-03-01 00:07:00+00:00,84358.47,TP,8,2025-03-01 00:15:00+00:00
2025-03-01 00:08:00+00:00,84389.99,TP,7,2025-03-01 00:15:00+00:00
2025-03-01 00:09:00+00:00,84385.09,TP,6,2025-03-01 00:15:00+00:00
2025-03-01 00:10:00+00:00,84400.0,TP,106,2025-03-01 01:56:00+00:00
2025-03-01 00:11:00+00:00,84431.5,TP,105,2025-03-01 01:56:00+00:00
2025-03-01 00:12:00+00:00,84449.2,TP,104,2025-03-01 01:56:00+00:00
2025-03-01 00:13:00+00:00,84458.49,TP,103,2025-03-01 01:56:00+00:00
2025-03-01 00:14:00+00:00,84536.52,TP,103,2025-03-01 01:57:00+00:00
2025-03-01 00:15:00+00:00,84603.89,TP,127,2025-03-01 02:22:00+00:00
2025-03-01 00:16:00+00:00,84501.98,TP,101,2025-03-01 01:57:00+00:00
2025-03-01 00:17:00+00:00,84520.01,TP,100,2025-03-01 01:57:00+00:00
2025-03-01 00:18:00+00:00,84466.9,TP,98,2025-03-01 01:56:00+00:00
2025-03-01 00:19:00+00:00,84457.68,TP,97,2025-03-01 01:56:00+00:00
2025-03-01 00:20:00+00:00,84422.48,TP,96,2025-03-01 01:56:00+00:00
2025-03-01 00:21:00+00:00,84439.74,TP,95,2025-03-01 01:56:00+00:00
2025-03-01 00:22:00+00:00,84395.83,TP,94,2025-03-01 01:56:00+00:00
2025-03-01 00:23:00+00:00,84455.99,TP,93,2025-03-01 01:56:00+00:00
2025-03-01 00:24:00+00:00,84400.04,TP,92,2025-03-01 01:56:00+00:00
2025-03-01 00:25:00+00:00,84378.9,TP,87,2025-03-01 01:52:00+00:00
2025-03-01 00:26:00+00:00,84345.99,TP,84,2025-03-01 01:50:00+00:00
2025-03-01 00:27:00+00:00,84326.64,TP,80,2025-03-01 01:47:00+00:00
2025-03-01 00:28:00+00:00,84293.09,TP,76,2025-03-01 01:44:00+00:00
2025-03-01 00:29:00+00:00,84272.25,TP,75,2025-03-01 01:44:00+00:00
2025-03-01 00:30:00+00:00,84254.19,TP,74,2025-03-01 01:44:00+00:00
2025-03-01 00:31:00+00:00,84245.68,TP,73,2025-03-01 01:44:00+00:00
2025-03-01 00:32:00+00:00,84208.07,TP,70,2025-03-01 01:42:00+00:00
2025-03-01 00:33:00+00:00,84187.45,TP,69,2025-03-01 01:42:00+00:00
2025-03-01 00:34:00+00:00,84171.17,TP,68,2025-03-01 01:42:00+00:00
2025-03-01 00:35:00+00:00,84247.03,TP,69,2025-03-01 01:44:00+00:00
2025-03-01 00:36:00+00:00,84208.52,TP,66,2025-03-01 01:42:00+00:00
2025-03-01 00:37:00+00:00,84129.99,TP,65,2025-03-01 01:42:00+00:00
2025-03-01 00:38:00+00:00,84142.0,TP,64,2025-03-01 01:42:00+00:00
2025-03-01 00:39:00+00:00,84112.92,TP,63,2025-03-01 01:42:00+00:00
2025-03-01 00:40:00+00:00,84099.03,TP,62,2025-03-01 01:42:00+00:00
2025-03-01 00:41:00+00:00,84062.08,TP,61,2025-03-01 01:42:00+00:00
2025-03-01 00:42:00+00:00,84055.32,TP,60,2025-03-01 01:42:00+00:00
2025-03-01 00:43:00+00:00,84097.18,TP,59,2025-03-01 01:42:00+00:00
2025-03-01 00:44:00+00:00,84162.21,TP,58,2025-03-01 01:42:00+00:00
2025-03-01 00:45:00+00:00,84172.8,TP,57,2025-03-01 01:42:00+00:00
2025-03-01 00:46:00+00:00,84181.72,TP,56,2025-03-01 01:42:00+00:00
2025-03-01 00:47:00+00:00,84171.7,TP,55,2025-03-01 01:42:00+00:00
2025-03-01 00:48:00+00:00,84084.01,TP,54,2025-03-01 01:42:00+00:00
2025-03-01 00:49:00+00:00,84049.53,TP,53,2025-03-01 01:42:00+00:00
2025-03-01 00:50:00+00:00,84056.6,TP,52,2025-03-01 01:42:00+00:00
2025-03-01 00:51:00+00:00,83919.49,TP,50,2025-03-01 01:41:00+00:00
2025-03-01 00:52:00+00:00,83914.94,TP,49,2025-03-01 01:41:00+00:00
2025-03-01 00:53:00+00:00,83895.89,TP,47,2025-03-01 01:40:00+00:00
2025-03-01 00:54:00+00:00,83875.99,TP,26,2025-03-01 01:20:00+00:00
2025-03-01 00:55:00+00:00,83850.86,TP,20,2025-03-01 01:15:00+00:00
2025-03-01 00:56:00+00:00,83829.2,TP,19,2025-03-01 01:15:00+00:00
2025-03-01 00:57:00+00:00,83860.96,TP,23,2025-03-01 01:20:00+00:00
2025-03-01 00:58:00+00:00,83872.03,TP,22,2025-03-01 01:20:00+00:00
2025-03-01 00:59:00+00:00,83857.92,TP,21,2025-03-01 01:20:00+00:00
2025-03-01 01:00:00+00:00,83900.0,TP,40,2025-03-01 01:40:00+00:00
2025-03-01 01:01:00+00:00,83929.65,TP,40,2025-03-01 01:41:00+00:00
2025-03-01 01:02:00+00:00,83981.14,TP,39,2025-03-01 01:41:00+00:00
2025-03-01 01:03:00+00:00,83929.98,TP,38,2025-03-01 01:41:00+00:00
2025-03-01 01:04:00+00:00,83978.0,TP,37,2025-03-01 01:41:00+00:00
2025-03-01 01:05:00+00:00,84017.72,TP,36,2025-03-01 01:41:00+00:00
2025-03-01 01:06:00+00:00,84009.44,TP,35,2025-03-01 01:41:00+00:00
2025-03-01 01:07:00+00:00,83939.91,TP,34,2025-03-01 01:41:00+00:00
2025-03-01 01:08:00+00:00,83904.73,TP,33,2025-03-01 01:41:00+00:00
2025-03-01 01:09:00+00:00,83949.01,TP,32,2025-03-01 01:41:00+00:00
2025-03-01 01:10:00+00:00,83978.01,TP,31,2025-03-01 01:41:00+00:00
2025-03-01 01:11:00+00:00,84027.28,TP,31,2025-03-01 01:42:00+00:00
2025-03-01 01:12:00+00:00,84033.47,TP,30,2025-03-01 01:42:00+00:00
2025-03-01 01:13:00+00:00,83998.24,TP,28,2025-03-01 01:41:00+00:00
2025-03-01 01:14:00+00:00,83995.8,TP,27,2025-03-01 01:41:00+00:00
2025-03-01 01:15:00+00:00,84060.64,TP,27,2025-03-01 01:42:00+00:00
2025-03-01 01:16:00+00:00,84020.43,TP,25,2025-03-01 01:41:00+00:00
2025-03-01 01:17:00+00:00,84055.92,TP,25,2025-03-01 01:42:00+00:00
2025-03-01 01:18:00+00:00,84026.01,TP,24,2025-03-01 01:42:00+00:00
2025-03-01 01:19:00+00:00,84062.82,TP,23,2025-03-01 01:42:00+00:00
2025-03-01 01:20:00+00:00,84100.0,TP,22,2025-03-01 01:42:00+00:00
2025-03-01 01:21:00+00:00,84035.18,TP,21,2025-03-01 01:42:00+00:00
2025-03-01 01:22:00+00:00,84000.0,TP,19,2025-03-01 01:41:00+00:00
2025-03-01 01:23:00+00:00,84054.05,TP,19,2025-03-01 01:42:00+00:00
2025-03-01 01:24:00+00:00,84053.33,TP,18,2025-03-01 01:42:00+00:00
2025-03-01 01:25:00+00:00,83962.27,TP,16,2025-03-01 01:41:00+00:00
2025-03-01 01:26:00+00:00,83900.0,TP,14,2025-03-01 01:40:00+00:00
2025-03-01 01:27:00+00:00,83879.0,TP,13,2025-03-01 01:40:00+00:00
2025-03-01 01:28:00+00:00,83916.56,TP,13,2025-03-01 01:41:00+00:00
2025-03-01 01:29:00+00:00,83981.12,TP,12,2025-03-01 01:41:00+00:00
2025-03-01 01:30:00+00:00,83925.95,TP,11,2025-03-01 01:41:00+00:00
2025-03-01 01:31:00+00:00,83962.75,TP,10,2025-03-01 01:41:00+00:00
2025-03-01 01:32:00+00:00,83944.56,TP,9,2025-03-01 01:41:00+00:00
2025-03-01 01:33:00+00:00,83989.85,TP,8,2025-03-01 01:41:00+00:00
2025-03-01 01:34:00+00:00,84032.47,TP,8,2025-03-01 01:42:00+00:00
2025-03-01 01:35:00+00:00,84047.2,TP,7,2025-03-01 01:42:00+00:00
2025-03-01 01:36:00+00:00,84059.99,TP,6,2025-03-01 01:42:00+00:00
2025-03-01 01:37:00+00:00,84029.15,TP,5,2025-03-01 01:42:00+00:00
2025-03-01 01:38:00+00:00,84021.48,TP,3,2025-03-01 01:41:00+00:00
2025-03-01 01:39:00+00:00,84082.97,TP,3,2025-03-01 01:42:00+00:00
2025-03-01 01:40:00+00:00,84114.0,TP,2,2025-03-01 01:42:00+00:00
2025-03-01 01:41:00+00:00,84232.0,TP,3,2025-03-01 01:44:00+00:00
2025-03-01 01:42:00+00:00,84436.09,TP,14,2025-03-01 01:56:00+00:00
2025-03-01 01:43:00+00:00,84367.99,TP,9,2025-03-01 01:52:00+00:00
2025-03-01 01:44:00+00:00,84518.86,TP,13,2025-03-01 01:57:00+00:00
2025-03-01 01:45:00+00:00,84440.3,TP,11,2025-03-01 01:56:00+00:00
2025-03-01 01:46:00+00:00,84537.42,TP,11,2025-03-01 01:57:00+00:00
2025-03-01 01:47:00+00:00,84551.36,TP,10,2025-03-01 01:57:00+00:00
2025-03-01 01:48:00+00:00,84516.44,TP,9,2025-03-01 01:57:00+00:00
2025-03-01 01:49:00+00:00,84457.78,TP,7,2025-03-01 01:56:00+00:00
2025-03-01 01:50:00+00:00,84572.06,TP,7,2025-03-01 01:57:00+00:00
2025-03-01 01:51:00+00:00,84530.81,TP,6,2025-03-01 01:57:00+00:00
2025-03-01 01:52:00+00:00,84594.09,TP,29,2025-03-01 02:21:00+00:00
2025-03-01 01:53:00+00:00,84570.96,TP,4,2025-03-01 01:57:00+00:00
2025-03-01 01:54:00+00:00,84567.66,TP,3,2025-03-01 01:57:00+00:00
2025-03-01 01:55:00+00:00,84550.49,TP,2,2025-03-01 01:57:00+00:00
2025-03-01 01:56:00+00:00,84698.23,TP,31,2025-03-01 02:27:00+00:00
2025-03-01 01:57:00+00:00,84792.84,TP,32,2025-03-01 02:29:00+00:00
2025-03-01 01:58:00+00:00,84686.32,TP,29,2025-03-01 02:27:00+00:00
2025-03-01 01:59:00+00:00,84656.93,TP,28,2025-03-01 02:27:00+00:00
2025-03-01 02:00:00+00:00,84595.14,TP,21,2025-03-01 02:21:00+00:00
2025-03-01 02:01:00+00:00,84434.85,TP,11,2025-03-01 02:12:00+00:00
2025-03-01 02:02:00+00:00,84433.97,TP,10,2025-03-01 02:12:00+00:00
2025-03-01 02:03:00+00:00,84491.25,TP,10,2025-03-01 02:13:00+00:00
2025-03-01 02:04:00+00:00,84462.62,TP,8,2025-03-01 02:12:00+00:00
2025-03-01 02:05:00+00:00,84447.6,TP,7,2025-03-01 02:12:00+00:00
2025-03-01 02:06:00+00:00,84448.35,TP,6,2025-03-01 02:12:00+00:00
