Entry_Time,Entry_Price,Direction,Result,Hold_Min,Exit_Time,Exit_Price
2025-03-01 01:01:00+00:00,83929.65,long,TP,40,2025-03-01 01:41:00+00:00,84232.0
2025-03-01 01:41:00+00:00,84232.0,short,LIQ,2276,2025-03-02 15:37:00+00:00,88156.6
2025-03-02 15:37:00+00:00,88156.6,long,TP,4,2025-03-02 15:41:00+00:00,88602.01
2025-03-02 15:41:00+00:00,88602.01,short,TP,1,2025-03-02 15:42:00+00:00,88328.02
2025-03-02 15:42:00+00:00,88328.02,long,TP,34,2025-03-02 16:16:00+00:00,88807.18
2025-03-02 16:16:00+00:00,88807.18,short,LIQ,74,2025-03-02 17:30:00+00:00,92814.0
2025-03-02 17:30:00+00:00,92814.0,long,TP,1,2025-03-02 17:31:00+00:00,93096.0
2025-03-02 17:31:00+00:00,93096.0,short,TP,64,2025-03-02 18:35:00+00:00,92745.95
2025-03-02 18:35:00+00:00,92745.95,long,TP,16,2025-03-02 18:51:00+00:00,92996.0
2025-03-02 18:51:00+00:00,92996.0,short,TP,2,2025-03-02 18:53:00+00:00,92611.97
2025-03-02 18:53:00+00:00,92611.97,long,TP,4,2025-03-02 18:57:00+00:00,92944.61
2025-03-02 18:57:00+00:00,92944.61,short,TP,5,2025-03-02 19:02:00+00:00,92675.25
2025-03-02 19:02:00+00:00,92675.25,long,TP,2,2025-03-02 19:04:00+00:00,92986.0
2025-03-02 19:04:00+00:00,92986.0,short,TP,373,2025-03-03 01:17:00+00:00,92691.99
2025-03-03 01:17:00+00:00,92691.99,long,TP,4,2025-03-03 01:21:00+00:00,93130.03
2025-03-03 01:21:00+00:00,93130.03,short,TP,4,2025-03-03 01:25:00+00:00,92842.38
2025-03-03 01:25:00+00:00,92842.38,long,TP,30,2025-03-03 01:55:00+00:00,93155.09
2025-03-03 01:55:00+00:00,93155.09,short,TP,10,2025-03-03 02:05:00+00:00,92860.0
2025-03-03 02:05:00+00:00,92860.0,long,TP,31,2025-03-03 02:36:00+00:00,93121.99
2025-03-03 02:36:00+00:00,93121.99,short,TP,38,2025-03-03 03:14:00+00:00,92883.99
2025-03-03 03:14:00+00:00,92883.99,long,TP,143,2025-03-03 05:37:00+00:00,93132.75
2025-03-03 05:37:00+00:00,93132.75,short,TP,43,2025-03-03 06:20:00+00:00,92892.0
2025-03-03 06:20:00+00:00,92892.0,long,TP,343,2025-03-03 12:03:00+00:00,93237.46
2025-03-03 12:03:00+00:00,93237.46,short,TP,14,2025-03-03 12:17:00+00:00,92984.53
2025-03-03 12:17:00+00:00,92984.53,long,TP,47,2025-03-03 13:04:00+00:00,93219.47
2025-03-03 13:04:00+00:00,93219.47,short,TP,7,2025-03-03 13:11:00+00:00,92930.24
2025-03-03 13:11:00+00:00,92930.24,long,TP,13,2025-03-03 13:24:00+00:00,93188.68
2025-03-03 13:24:00+00:00,93188.68,short,TP,59,2025-03-03 14:23:00+00:00,92901.69
2025-03-03 14:23:00+00:00,92901.69,long,TP,6,2025-03-03 14:29:00+00:00,93180.71
2025-03-03 14:29:00+00:00,93180.71,short,TP,1,2025-03-03 14:30:00+00:00,92850.29
2025-03-03 14:30:00+00:00,92850.29,long,TP,2,2025-03-03 14:32:00+00:00,93105.98
2025-03-03 14:32:00+00:00,93105.98,short,TP,3,2025-03-03 14:35:00+00:00,92561.82
2025-03-03 14:35:00+00:00,92561.82,long,LIQ,231,2025-03-03 18:26:00+00:00,88129.0
2025-03-03 18:26:00+00:00,88129.0,short,TP,2,2025-03-03 18:28:00+00:00,87632.0
2025-03-03 18:28:00+00:00,87632.0,long,TP,2,2025-03-03 18:30:00+00:00,87942.98
2025-03-03 18:30:00+00:00,87942.98,short,TP,2,2025-03-03 18:32:00+00:00,87312.0
2025-03-03 18:32:00+00:00,87312.0,long,TP,1,2025-03-03 18:33:00+00:00,87888.76
2025-03-03 18:33:00+00:00,87888.76,short,TP,1,2025-03-03 18:34:00+00:00,87619.47
2025-03-03 18:34:00+00:00,87619.47,long,TP,1,2025-03-03 18:35:00+00:00,88038.8
2025-03-03 18:35:00+00:00,88038.8,short,TP,2,2025-03-03 18:37:00+00:00,87548.16
