Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time
2025-03-03 14:37:00+00:00,92105.27,LIQ,230,2025-03-03 18:27:00+00:00
2025-03-03 14:38:00+00:00,91914.87,LIQ,230,2025-03-03 18:28:00+00:00
2025-03-03 14:42:00+00:00,91428.48,LIQ,236,2025-03-03 18:38:00+00:00
2025-03-03 14:44:00+00:00,91363.34,LIQ,235,2025-03-03 18:39:00+00:00
2025-03-03 14:46:00+00:00,91534.0,LIQ,226,2025-03-03 18:32:00+00:00
2025-03-03 14:47:00+00:00,91521.64,LIQ,225,2025-03-03 18:32:00+00:00
2025-03-03 14:48:00+00:00,91377.36,LIQ,230,2025-03-03 18:38:00+00:00
2025-03-03 14:49:00+00:00,91110.55,LIQ,230,2025-03-03 18:39:00+00:00
2025-03-03 14:51:00+00:00,90976.0,LIQ,264,2025-03-03 19:15:00+00:00
2025-03-03 18:02:00+00:00,90153.99,LIQ,112,2025-03-03 19:54:00+00:00
2025-03-03 18:03:00+00:00,90103.9,LIQ,111,2025-03-03 19:54:00+00:00
2025-03-03 18:04:00+00:00,90044.01,LIQ,110,2025-03-03 19:54:00+00:00
2025-03-03 18:05:00+00:00,89840.02,LIQ,114,2025-03-03 19:59:00+00:00
2025-03-03 18:06:00+00:00,89784.0,LIQ,113,2025-03-03 19:59:00+00:00
2025-03-03 18:07:00+00:00,89567.01,LIQ,114,2025-03-03 20:01:00+00:00
2025-03-03 18:08:00+00:00,89568.0,LIQ,113,2025-03-03 20:01:00+00:00
2025-03-03 18:09:00+00:00,89754.72,LIQ,110,2025-03-03 19:59:00+00:00
2025-03-03 18:10:00+00:00,89584.27,LIQ,111,2025-03-03 20:01:00+00:00
2025-03-03 18:11:00+00:00,89660.75,LIQ,110,2025-03-03 20:01:00+00:00
2025-03-03 18:12:00+00:00,89444.01,LIQ,147,2025-03-03 20:39:00+00:00
2025-03-03 18:13:00+00:00,89351.99,LIQ,148,2025-03-03 20:41:00+00:00
2025-03-03 18:14:00+00:00,89377.36,LIQ,147,2025-03-03 20:41:00+00:00
2025-03-03 18:15:00+00:00,89543.61,LIQ,144,2025-03-03 20:39:00+00:00
2025-03-03 18:16:00+00:00,89384.66,LIQ,145,2025-03-03 20:41:00+00:00
2025-03-03 18:17:00+00:00,89270.02,LIQ,221,2025-03-03 21:58:00+00:00
2025-03-03 18:18:00+00:00,89006.0,LIQ,441,2025-03-04 01:39:00+00:00
2025-03-03 18:19:00+00:00,88878.0,LIQ,440,2025-03-04 01:39:00+00:00
2025-03-03 18:20:00+00:00,89036.62,LIQ,439,2025-03-04 01:39:00+00:00
2025-03-03 18:21:00+00:00,88812.57,LIQ,438,2025-03-04 01:39:00+00:00
2025-03-03 18:22:00+00:00,88818.0,LIQ,437,2025-03-04 01:39:00+00:00
2025-03-03 18:23:00+00:00,88690.26,LIQ,436,2025-03-04 01:39:00+00:00
2025-03-03 18:24:00+00:00,88884.52,LIQ,435,2025-03-04 01:39:00+00:00
2025-03-03 18:25:00+00:00,88585.2,LIQ,434,2025-03-04 01:39:00+00:00
2025-03-03 18:26:00+00:00,88129.0,LIQ,435,2025-03-04 01:41:00+00:00
2025-03-03 18:27:00+00:00,87919.43,LIQ,434,2025-03-04 01:41:00+00:00
2025-03-03 18:30:00+00:00,87942.98,LIQ,431,2025-03-04 01:41:00+00:00
2025-03-03 18:31:00+00:00,88070.88,LIQ,430,2025-03-04 01:41:00+00:00
2025-03-03 18:33:00+00:00,87888.76,LIQ,428,2025-03-04 01:41:00+00:00
2025-03-03 18:35:00+00:00,88038.8,LIQ,426,2025-03-04 01:41:00+00:00
2025-03-03 18:36:00+00:00,87971.3,LIQ,425,2025-03-04 01:41:00+00:00
2025-03-03 18:45:00+00:00,87602.13,LIQ,418,2025-03-04 01:43:00+00:00
2025-03-03 18:48:00+00:00,87820.0,LIQ,413,2025-03-04 01:41:00+00:00
2025-03-03 18:50:00+00:00,87631.0,LIQ,413,2025-03-04 01:43:00+00:00
2025-03-03 18:51:00+00:00,87440.94,LIQ,414,2025-03-04 01:45:00+00:00
2025-03-03 18:52:00+00:00,87418.79,LIQ,413,2025-03-04 01:45:00+00:00
2025-03-03 18:53:00+00:00,87518.24,LIQ,412,2025-03-04 01:45:00+00:00
2025-03-03 18:54:00+00:00,87309.91,LIQ,411,2025-03-04 01:45:00+00:00
2025-03-03 19:00:00+00:00,87476.0,LIQ,405,2025-03-04 01:45:00+00:00
2025-03-03 19:01:00+00:00,87321.98,LIQ,404,2025-03-04 01:45:00+00:00
2025-03-03 19:02:00+00:00,87520.0,LIQ,403,2025-03-04 01:45:00+00:00
2025-03-03 19:03:00+00:00,87451.99,LIQ,402,2025-03-04 01:45:00+00:00
2025-03-03 19:04:00+00:00,87352.0,LIQ,401,2025-03-04 01:45:00+00:00
2025-03-03 19:06:00+00:00,87362.01,LIQ,399,2025-03-04 01:45:00+00:00
2025-03-03 19:08:00+00:00,87508.26,LIQ,397,2025-03-04 01:45:00+00:00
2025-03-03 19:09:00+00:00,87500.0,LIQ,396,2025-03-04 01:45:00+00:00
2025-03-03 19:10:00+00:00,87362.77,LIQ,395,2025-03-04 01:45:00+00:00
2025-03-03 19:11:00+00:00,87258.96,LIQ,394,2025-03-04 01:45:00+00:00
2025-03-03 19:12:00+00:00,87299.99,LIQ,393,2025-03-04 01:45:00+00:00
2025-03-03 19:31:00+00:00,87407.98,LIQ,374,2025-03-04 01:45:00+00:00
2025-03-03 19:32:00+00:00,87300.62,LIQ,373,2025-03-04 01:45:00+00:00
2025-03-03 19:33:00+00:00,87283.02,LIQ,372,2025-03-04 01:45:00+00:00
2025-03-03 19:34:00+00:00,87168.01,LIQ,371,2025-03-04 01:45:00+00:00
2025-03-03 19:39:00+00:00,87168.48,LIQ,366,2025-03-04 01:45:00+00:00
2025-03-03 19:40:00+00:00,87278.0,LIQ,365,2025-03-04 01:45:00+00:00
2025-03-03 19:41:00+00:00,87181.58,LIQ,364,2025-03-04 01:45:00+00:00
2025-03-03 19:42:00+00:00,86987.28,LIQ,363,2025-03-04 01:45:00+00:00
2025-03-03 19:43:00+00:00,86898.0,LIQ,362,2025-03-04 01:45:00+00:00
2025-03-03 19:44:00+00:00,86931.99,LIQ,361,2025-03-04 01:45:00+00:00
2025-03-03 19:46:00+00:00,86891.99,LIQ,359,2025-03-04 01:45:00+00:00
2025-03-03 19:47:00+00:00,86924.0,LIQ,358,2025-03-04 01:45:00+00:00
2025-03-03 19:48:00+00:00,86975.72,LIQ,357,2025-03-04 01:45:00+00:00
2025-03-03 19:49:00+00:00,86894.39,LIQ,356,2025-03-04 01:45:00+00:00
2025-03-03 19:50:00+00:00,86944.0,LIQ,355,2025-03-04 01:45:00+00:00
2025-03-03 22:54:00+00:00,87015.61,LIQ,171,2025-03-04 01:45:00+00:00
2025-03-03 22:55:00+00:00,86838.06,LIQ,170,2025-03-04 01:45:00+00:00
2025-03-03 22:56:00+00:00,86935.78,LIQ,169,2025-03-04 01:45:00+00:00
2025-03-03 22:57:00+00:00,86760.89,LIQ,168,2025-03-04 01:45:00+00:00
2025-03-03 22:58:00+00:00,86818.35,LIQ,167,2025-03-04 01:45:00+00:00
2025-03-03 22:59:00+00:00,86650.96,LIQ,187,2025-03-04 02:06:00+00:00
2025-03-03 23:23:00+00:00,86615.9,LIQ,163,2025-03-04 02:06:00+00:00
2025-03-03 23:24:00+00:00,86749.21,LIQ,141,2025-03-04 01:45:00+00:00
2025-03-03 23:25:00+00:00,86778.94,LIQ,140,2025-03-04 01:45:00+00:00
2025-03-03 23:26:00+00:00,86777.81,LIQ,139,2025-03-04 01:45:00+00:00
2025-03-03 23:27:00+00:00,86639.99,LIQ,159,2025-03-04 02:06:00+00:00
2025-03-03 23:34:00+00:00,86576.0,LIQ,152,2025-03-04 02:06:00+00:00
2025-03-03 23:35:00+00:00,86595.99,LIQ,151,2025-03-04 02:06:00+00:00
2025-03-03 23:38:00+00:00,86526.54,LIQ,148,2025-03-04 02:06:00+00:00
2025-03-03 23:39:00+00:00,86569.64,LIQ,147,2025-03-04 02:06:00+00:00
2025-03-03 23:41:00+00:00,86614.75,LIQ,145,2025-03-04 02:06:00+00:00
2025-03-03 23:42:00+00:00,86589.99,LIQ,144,2025-03-04 02:06:00+00:00
2025-03-03 23:43:00+00:00,86683.98,LIQ,122,2025-03-04 01:45:00+00:00
2025-03-03 23:44:00+00:00,86588.01,LIQ,142,2025-03-04 02:06:00+00:00
2025-03-07 20:53:00+00:00,88117.51,LIQ,2457,2025-03-09 13:50:00+00:00
2025-03-07 20:54:00+00:00,88107.54,LIQ,2456,2025-03-09 13:50:00+00:00
2025-03-07 20:55:00+00:00,87962.54,LIQ,2457,2025-03-09 13:52:00+00:00
2025-03-07 20:57:00+00:00,87072.11,LIQ,2473,2025-03-09 14:10:00+00:00
2025-03-07 20:58:00+00:00,87186.4,LIQ,2472,2025-03-09 14:10:00+00:00
2025-03-07 21:00:00+00:00,87285.99,LIQ,2463,2025-03-09 14:03:00+00:00
2025-03-07 21:01:00+00:00,87034.7,LIQ,2565,2025-03-09 15:46:00+00:00
2025-03-10 14:01:00+00:00,81166.16,LIQ,628,2025-03-11 00:29:00+00:00
2025-03-10 14:02:00+00:00,81017.9,LIQ,627,2025-03-11 00:29:00+00:00
