Date,Total,LIQ,LIQ_Prob(%)
2025-03-01,900,0.0,0.0
2025-03-02,1440,0.0,0.0
2025-03-03,1440,89.0,6.18
2025-03-04,1440,65.0,4.51
2025-03-05,1440,0.0,0.0
2025-03-06,1440,46.0,3.19
2025-03-07,1440,10.0,0.69
2025-03-08,1440,273.0,18.96
2025-03-09,1440,782.0,54.31
2025-03-10,1440,67.0,4.65
2025-03-11,1440,0.0,0.0
2025-03-12,1440,0.0,0.0
2025-03-13,1440,0.0,0.0
2025-03-14,1440,0.0,0.0
2025-03-15,1440,0.0,0.0
2025-03-16,1440,0.0,0.0
2025-03-17,1440,0.0,0.0
2025-03-18,1440,0.0,0.0
2025-03-19,1440,0.0,0.0
2025-03-20,1440,0.0,0.0
2025-03-21,1440,0.0,0.0
2025-03-22,1440,0.0,0.0
2025-03-23,1440,0.0,0.0
2025-03-24,1440,0.0,0.0
2025-03-25,1440,0.0,0.0
2025-03-26,1440,85.0,5.9
2025-03-27,1440,0.0,0.0
2025-03-28,1138,224.0,19.68
2025-03-29,1342,0.0,0.0
2025-03-30,1440,0.0,0.0
2025-03-31,1439,0.0,0.0
