Lookback(min),ReturnBin,Count,TP_Rate(%)
5,<-1%,58,94.82758620689656
5,-1~-0.5,446,94.39461883408072
5,-0.5~0,21285,96.51867512332628
5,0~0.5,21382,95.99195585071556
5,>0.5%,523,97.131931166348
10,<-1%,172,91.86046511627907
10,-1~-0.5,965,96.47668393782384
10,-0.5~0,20777,96.4528083938971
10,0~0.5,20660,96.0648596321394
10,>0.5%,1115,96.14349775784753
30,<-1%,807,94.2998760842627
30,-1~-0.5,2444,98.6088379705401
30,-0.5~0,18328,96.44260148406809
30,0~0.5,18930,95.91125198098257
30,>0.5%,3160,95.72784810126582
60,<-1%,1816,97.90748898678414
60,-1~-0.5,3716,98.76210979547902
60,-0.5~0,15708,95.81741787624141
60,0~0.5,16999,95.5762103653156
60,>0.5%,5400,97.25925925925925
360,<-1%,8723,98.47529519660667
360,-1~-0.5,4843,98.01775758827173
360,-0.5~0,8323,92.2263606872522
360,0~0.5,8289,95.2105199662203
360,>0.5%,13161,97.20385988906618
