Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time,WaterCnt,Profit,Water1,Water2,Water3,Water4
2025-03-02 23:03:00+00:00,94785.94,LIQ,1160,2025-03-03 18:23:00+00:00,4,0.0,2025-03-03 00:07:00+00:00,2025-03-03 02:25:00+00:00,2025-03-03 07:03:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:04:00+00:00,94694.3,LIQ,1161,2025-03-03 18:25:00+00:00,4,0.0,2025-03-03 00:08:00+00:00,2025-03-03 02:28:00+00:00,2025-03-03 14:43:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:05:00+00:00,94610.17,LIQ,1160,2025-03-03 18:25:00+00:00,4,0.0,2025-03-03 00:14:00+00:00,2025-03-03 02:29:00+00:00,2025-03-03 14:43:00+00:00,2025-03-03 14:57:00+00:00
2025-03-02 23:08:00+00:00,94745.99,LIQ,1155,2025-03-03 18:23:00+00:00,4,0.0,2025-03-03 00:08:00+00:00,2025-03-03 02:27:00+00:00,2025-03-03 09:01:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:09:00+00:00,94829.1,LIQ,1154,2025-03-03 18:23:00+00:00,4,0.0,2025-03-03 00:07:00+00:00,2025-03-03 01:18:00+00:00,2025-03-03 07:03:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:10:00+00:00,94843.99,LIQ,1151,2025-03-03 18:21:00+00:00,4,0.0,2025-03-03 00:07:00+00:00,2025-03-03 01:18:00+00:00,2025-03-03 07:03:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:11:00+00:00,94780.88,LIQ,1152,2025-03-03 18:23:00+00:00,4,0.0,2025-03-03 00:07:00+00:00,2025-03-03 02:25:00+00:00,2025-03-03 07:03:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:12:00+00:00,94701.9,LIQ,1153,2025-03-03 18:25:00+00:00,4,0.0,2025-03-03 00:08:00+00:00,2025-03-03 02:28:00+00:00,2025-03-03 14:43:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:13:00+00:00,94673.69,LIQ,1152,2025-03-03 18:25:00+00:00,4,0.0,2025-03-03 00:08:00+00:00,2025-03-03 02:28:00+00:00,2025-03-03 14:43:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:18:00+00:00,94742.43,LIQ,1145,2025-03-03 18:23:00+00:00,4,0.0,2025-03-03 00:08:00+00:00,2025-03-03 02:27:00+00:00,2025-03-03 09:01:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:19:00+00:00,94773.04,LIQ,1144,2025-03-03 18:23:00+00:00,4,0.0,2025-03-03 00:08:00+00:00,2025-03-03 02:25:00+00:00,2025-03-03 07:03:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:20:00+00:00,94600.02,LIQ,1145,2025-03-03 18:25:00+00:00,4,0.0,2025-03-03 00:15:00+00:00,2025-03-03 02:29:00+00:00,2025-03-03 14:43:00+00:00,2025-03-03 14:57:00+00:00
2025-03-02 23:21:00+00:00,94684.06,LIQ,1144,2025-03-03 18:25:00+00:00,4,0.0,2025-03-03 00:08:00+00:00,2025-03-03 02:28:00+00:00,2025-03-03 14:43:00+00:00,2025-03-03 14:56:00+00:00
2025-03-02 23:22:00+00:00,94635.38,LIQ,1143,2025-03-03 18:25:00+00:00,4,0.0,2025-03-03 00:14:00+00:00,2025-03-03 02:29:00+00:00,2025-03-03 14:43:00+00:00,2025-03-03 14:57:00+00:00
2025-03-02 23:23:00+00:00,94618.18,LIQ,1142,2025-03-03 18:25:00+00:00,4,0.0,2025-03-03 00:14:00+00:00,2025-03-03 02:29:00+00:00,2025-03-03 14:43:00+00:00,2025-03-03 14:57:00+00:00
2025-03-02 23:24:00+00:00,94495.4,LIQ,1142,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:35:00+00:00,2025-03-03 06:40:00+00:00,2025-03-03 14:50:00+00:00,2025-03-03 14:57:00+00:00
2025-03-02 23:25:00+00:00,94466.0,LIQ,1141,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:35:00+00:00,2025-03-03 06:40:00+00:00,2025-03-03 14:50:00+00:00,2025-03-03 14:57:00+00:00
2025-03-02 23:26:00+00:00,94280.0,LIQ,1140,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:59:00+00:00,2025-03-03 06:40:00+00:00,2025-03-03 14:52:00+00:00,2025-03-03 14:59:00+00:00
2025-03-02 23:27:00+00:00,94312.0,LIQ,1139,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:59:00+00:00,2025-03-03 06:40:00+00:00,2025-03-03 14:52:00+00:00,2025-03-03 14:59:00+00:00
2025-03-02 23:28:00+00:00,94266.38,LIQ,1138,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:59:00+00:00,2025-03-03 06:41:00+00:00,2025-03-03 14:52:00+00:00,2025-03-03 14:59:00+00:00
2025-03-02 23:37:00+00:00,94269.09,LIQ,1129,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:59:00+00:00,2025-03-03 06:41:00+00:00,2025-03-03 14:52:00+00:00,2025-03-03 14:59:00+00:00
2025-03-02 23:38:00+00:00,94272.48,LIQ,1128,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:59:00+00:00,2025-03-03 06:41:00+00:00,2025-03-03 14:52:00+00:00,2025-03-03 14:59:00+00:00
2025-03-02 23:39:00+00:00,94400.0,LIQ,1127,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:35:00+00:00,2025-03-03 06:40:00+00:00,2025-03-03 14:52:00+00:00,2025-03-03 14:57:00+00:00
2025-03-02 23:40:00+00:00,94498.0,LIQ,1126,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:35:00+00:00,2025-03-03 06:40:00+00:00,2025-03-03 14:50:00+00:00,2025-03-03 14:57:00+00:00
2025-03-02 23:41:00+00:00,94427.99,LIQ,1125,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:35:00+00:00,2025-03-03 06:40:00+00:00,2025-03-03 14:50:00+00:00,2025-03-03 14:57:00+00:00
2025-03-02 23:42:00+00:00,94366.0,LIQ,1124,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:38:00+00:00,2025-03-03 06:40:00+00:00,2025-03-03 14:52:00+00:00,2025-03-03 14:59:00+00:00
2025-03-02 23:43:00+00:00,94375.27,LIQ,1123,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:38:00+00:00,2025-03-03 06:40:00+00:00,2025-03-03 14:52:00+00:00,2025-03-03 14:57:00+00:00
2025-03-02 23:44:00+00:00,94349.63,LIQ,1122,2025-03-03 18:26:00+00:00,4,0.0,2025-03-03 00:58:00+00:00,2025-03-03 06:40:00+00:00,2025-03-03 14:52:00+00:00,2025-03-03 14:59:00+00:00
