Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time,WaterCnt,Profit,Water1,Water2,Water3,Water4
2025-03-28 03:11:00+00:00,86807.18,OPEN,5568,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:12:00+00:00,86827.88,OPEN,5567,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:13:00+00:00,86827.68,OPEN,5566,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:15:00+00:00,86835.36,OPEN,5564,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:16:00+00:00,86819.32,OPEN,5563,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:17:00+00:00,86846.93,OPEN,5562,,4,0.0,2025-03-28 05:29:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:21:00+00:00,86811.52,OPEN,5558,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:22:00+00:00,86801.93,OPEN,5557,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:23:00+00:00,86804.19,OPEN,5556,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:24:00+00:00,86833.4,OPEN,5555,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:25:00+00:00,86840.39,OPEN,5554,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:26:00+00:00,86807.46,OPEN,5553,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:27:00+00:00,86839.52,OPEN,5552,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:28:00+00:00,86830.0,OPEN,5551,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:29:00+00:00,86800.0,OPEN,5550,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:30:00+00:00,86839.43,OPEN,5549,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:32:00+00:00,86815.56,OPEN,5547,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:36:00+00:00,86837.85,OPEN,5543,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:37:00+00:00,86819.32,OPEN,5542,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:38:00+00:00,86809.36,OPEN,5541,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:39:00+00:00,86844.82,OPEN,5540,,4,0.0,2025-03-28 05:29:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:40:00+00:00,86817.17,OPEN,5539,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:41:00+00:00,86830.16,OPEN,5538,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:42:00+00:00,86815.07,OPEN,5537,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:43:00+00:00,86818.44,OPEN,5536,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:44:00+00:00,86844.14,OPEN,5535,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:46:00+00:00,86804.45,OPEN,5533,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
