Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time
2025-03-28 13:51:00+00:00,85117.98,OPEN,4928,
2025-03-28 13:52:00+00:00,85051.66,OPEN,4927,
2025-03-28 13:53:00+00:00,84971.57,OPEN,4926,
2025-03-28 13:54:00+00:00,84984.21,OPEN,4925,
2025-03-28 13:55:00+00:00,84944.67,OPEN,4924,
2025-03-28 13:56:00+00:00,84997.67,OPEN,4923,
2025-03-28 13:57:00+00:00,85060.86,OPEN,4922,
2025-03-28 13:58:00+00:00,85010.4,OPEN,4921,
2025-03-28 13:59:00+00:00,84994.0,OPEN,4920,
2025-03-28 14:00:00+00:00,85002.61,OPEN,4919,
2025-03-28 14:01:00+00:00,85017.3,OPEN,4918,
2025-03-28 14:02:00+00:00,85076.0,OPEN,4917,
2025-03-28 14:03:00+00:00,84919.76,OPEN,4916,
2025-03-28 14:04:00+00:00,84845.55,OPEN,4915,
2025-03-28 14:05:00+00:00,84817.51,OPEN,4914,
2025-03-28 14:06:00+00:00,84688.67,OPEN,4913,
2025-03-28 14:07:00+00:00,84653.44,OPEN,4912,
2025-03-28 14:08:00+00:00,84496.32,OPEN,4911,
2025-03-28 14:09:00+00:00,84423.73,OPEN,4910,
2025-03-28 14:10:00+00:00,84410.99,OPEN,4909,
2025-03-28 14:11:00+00:00,84542.5,OPEN,4908,
2025-03-28 14:14:00+00:00,84446.66,OPEN,4905,
2025-03-28 14:15:00+00:00,84408.66,OPEN,4904,
2025-03-28 14:17:00+00:00,84426.4,OPEN,4902,
2025-03-28 14:19:00+00:00,84436.08,OPEN,4900,
2025-03-28 14:20:00+00:00,84482.0,OPEN,4899,
2025-03-28 14:21:00+00:00,84603.99,OPEN,4898,
2025-03-28 14:22:00+00:00,84554.22,OPEN,4897,
2025-03-28 14:23:00+00:00,84561.01,OPEN,4896,
2025-03-28 14:24:00+00:00,84512.0,OPEN,4895,
2025-03-28 14:25:00+00:00,84525.99,OPEN,4894,
2025-03-28 14:28:00+00:00,84404.32,OPEN,4891,
2025-03-28 14:30:00+00:00,84422.07,OPEN,4889,
2025-03-28 14:39:00+00:00,84459.98,OPEN,4880,
2025-03-28 14:42:00+00:00,84443.4,OPEN,4877,
2025-03-28 14:43:00+00:00,84447.21,OPEN,4876,
2025-03-28 14:44:00+00:00,84405.2,OPEN,4875,
2025-03-28 15:37:00+00:00,84408.95,OPEN,4822,
2025-03-28 15:38:00+00:00,84412.64,OPEN,4821,
2025-03-28 15:39:00+00:00,84459.87,OPEN,4820,
2025-03-28 15:40:00+00:00,84486.73,OPEN,4819,
2025-03-28 15:41:00+00:00,84444.01,OPEN,4818,
2025-03-28 22:56:00+00:00,84449.01,OPEN,4383,
2025-03-28 22:57:00+00:00,84432.01,OPEN,4382,
2025-03-28 22:58:00+00:00,84448.01,OPEN,4381,
2025-03-28 22:59:00+00:00,84480.35,OPEN,4380,
2025-03-28 23:00:00+00:00,84462.77,OPEN,4379,
2025-03-28 23:01:00+00:00,84453.22,OPEN,4378,
2025-03-28 23:02:00+00:00,84459.52,OPEN,4377,
2025-03-28 23:03:00+00:00,84499.99,OPEN,4376,
2025-03-28 23:04:00+00:00,84516.27,OPEN,4375,
2025-03-28 23:05:00+00:00,84515.31,OPEN,4374,
2025-03-28 23:06:00+00:00,84466.84,OPEN,4373,
2025-03-28 23:07:00+00:00,84430.18,OPEN,4372,
2025-03-28 23:45:00+00:00,84401.15,OPEN,4334,
2025-03-28 23:53:00+00:00,84400.98,OPEN,4326,
2025-03-28 23:54:00+00:00,84413.0,OPEN,4325,
2025-03-28 23:59:00+00:00,84424.38,OPEN,4320,
2025-03-29 00:06:00+00:00,84409.19,OPEN,4313,
2025-03-29 00:09:00+00:00,84413.97,OPEN,4310,
2025-03-29 00:10:00+00:00,84452.88,OPEN,4309,
2025-03-29 00:11:00+00:00,84459.79,OPEN,4308,
2025-03-29 00:12:00+00:00,84430.35,OPEN,4307,
2025-03-29 00:13:00+00:00,84467.42,OPEN,4306,
2025-03-29 00:14:00+00:00,84470.38,OPEN,4305,
2025-03-29 00:15:00+00:00,84440.46,OPEN,4304,
2025-03-29 00:16:00+00:00,84477.44,OPEN,4303,
2025-03-29 00:17:00+00:00,84490.56,OPEN,4302,
2025-03-29 00:18:00+00:00,84513.86,OPEN,4301,
2025-03-29 00:19:00+00:00,84492.62,OPEN,4300,
2025-03-29 00:20:00+00:00,84491.2,OPEN,4299,
