Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time
2025-03-02 15:46:00+00:00,87638.02,TP,17,2025-03-02 16:03:00+00:00
2025-03-02 15:49:00+00:00,87032.73,TP,2,2025-03-02 15:51:00+00:00
2025-03-02 17:51:00+00:00,93918.03,TP,9,2025-03-02 18:00:00+00:00
2025-03-03 14:39:00+00:00,91651.52,TP,2,2025-03-03 14:41:00+00:00
2025-03-03 14:43:00+00:00,90995.24,TP,1,2025-03-03 14:44:00+00:00
2025-03-03 14:45:00+00:00,91186.47,TP,1,2025-03-03 14:46:00+00:00
2025-03-03 14:50:00+00:00,90897.76,TP,33,2025-03-03 15:23:00+00:00
2025-03-03 14:52:00+00:00,90383.4,TP,29,2025-03-03 15:21:00+00:00
2025-03-03 14:53:00+00:00,90233.44,TP,20,2025-03-03 15:13:00+00:00
2025-03-03 14:54:00+00:00,90183.0,TP,19,2025-03-03 15:13:00+00:00
2025-03-03 14:55:00+00:00,90129.58,TP,17,2025-03-03 15:12:00+00:00
2025-03-03 14:56:00+00:00,89696.25,TP,7,2025-03-03 15:03:00+00:00
2025-03-03 14:57:00+00:00,89422.09,TP,1,2025-03-03 14:58:00+00:00
2025-03-03 14:58:00+00:00,89717.38,TP,5,2025-03-03 15:03:00+00:00
2025-03-03 14:59:00+00:00,89278.88,TP,1,2025-03-03 15:00:00+00:00
2025-03-03 15:00:00+00:00,89620.01,TP,1,2025-03-03 15:01:00+00:00
2025-03-03 15:01:00+00:00,89865.87,TP,3,2025-03-03 15:04:00+00:00
2025-03-03 15:02:00+00:00,89780.01,TP,1,2025-03-03 15:03:00+00:00
2025-03-03 15:03:00+00:00,90051.05,TP,9,2025-03-03 15:12:00+00:00
2025-03-03 15:04:00+00:00,90251.34,TP,9,2025-03-03 15:13:00+00:00
2025-03-03 15:05:00+00:00,89676.79,TP,5,2025-03-03 15:10:00+00:00
2025-03-03 15:06:00+00:00,89723.94,TP,4,2025-03-03 15:10:00+00:00
2025-03-03 15:07:00+00:00,89792.46,TP,3,2025-03-03 15:10:00+00:00
2025-03-03 15:08:00+00:00,89774.59,TP,2,2025-03-03 15:10:00+00:00
2025-03-03 15:09:00+00:00,89790.55,TP,1,2025-03-03 15:10:00+00:00
2025-03-03 15:10:00+00:00,90082.51,TP,2,2025-03-03 15:12:00+00:00
2025-03-03 15:11:00+00:00,90130.02,TP,1,2025-03-03 15:12:00+00:00
2025-03-03 15:12:00+00:00,90368.53,TP,9,2025-03-03 15:21:00+00:00
2025-03-03 15:13:00+00:00,90578.0,TP,9,2025-03-03 15:22:00+00:00
2025-03-03 15:14:00+00:00,90436.46,TP,7,2025-03-03 15:21:00+00:00
2025-03-03 15:15:00+00:00,89988.9,TP,5,2025-03-03 15:20:00+00:00
2025-03-03 15:16:00+00:00,90025.99,TP,4,2025-03-03 15:20:00+00:00
2025-03-03 15:17:00+00:00,90046.02,TP,3,2025-03-03 15:20:00+00:00
2025-03-03 15:18:00+00:00,90026.01,TP,2,2025-03-03 15:20:00+00:00
2025-03-03 15:19:00+00:00,90069.04,TP,1,2025-03-03 15:20:00+00:00
2025-03-03 15:20:00+00:00,90335.34,TP,1,2025-03-03 15:21:00+00:00
